Simulation Parameters:
Rectangle: 10.0 x 5.0
Target Area: 30.0
Angle Range: [0.0, 90.0] step 5.0
------------------------------------------------------------
Theta(deg)   | c            | CB_x         | CB_y         | Calc Area
------------------------------------------------------------
0.0          | 0.5000       | 0.0000       | -1.0000      | 30.0000
5.0          | 0.4981       | 0.2430       | -0.9894      | 30.0000
10.0         | 0.4924       | 0.4898       | -0.9568      | 30.0000
15.0         | 0.4830       | 0.7443       | -0.9003      | 30.0000
20.0         | 0.4698       | 1.0110       | -0.8160      | 30.0000
25.0         | 0.4647       | 1.2752       | -0.7069      | 30.0000
30.0         | 0.5033       | 1.4836       | -0.5988      | 30.0000
35.0         | 0.5736       | 1.6459       | -0.4959      | 30.0000
40.0         | 0.6428       | 1.7534       | -0.4138      | 30.0000
45.0         | 0.7071       | 1.8264       | -0.3472      | 30.0000
50.0         | 0.7660       | 1.8778       | -0.2914      | 30.0000
55.0         | 0.8192       | 1.9149       | -0.2431      | 30.0000
60.0         | 0.8660       | 1.9421       | -0.2005      | 30.0000
65.0         | 0.9063       | 1.9622       | -0.1619      | 30.0000
70.0         | 0.9397       | 1.9770       | -0.1264      | 30.0000
75.0         | 0.9659       | 1.9875       | -0.0930      | 30.0000
80.0         | 0.9848       | 1.9946       | -0.0612      | 30.0000
85.0         | 0.9962       | 1.9987       | -0.0304      | 30.0000
90.0         | 1.0000       | 2.0000       | 0.0000       | 30.0000

[INFO] Displaying plot...
